gene	slope	pval	r2	symbol	DEGs
290	FBgn0050042	-0.544	7.180e-03	0.548	Cpr49Ab	Smurf & old non-Smurf
291	FBgn0038236	-0.609	7.660e-03	0.616	Cyp313a1	Smurf & old non-Smurf
292	FBgn0040074	-0.634	4.500e-04	0.682	retinin	Smurf & old non-Smurf
293	FBgn0031176	-0.646	2.143e-02	0.574	whe	Smurf & old non-Smurf
294	FBgn0000075	-0.661	4.300e-03	0.525	amd	none
295	FBgn0011555	-0.759	2.100e-04	0.692	thetaTry	Smurf & old non-Smurf
296	FBgn0037782	-0.832	2.700e-04	0.696	Npc2d	Smurf & old non-Smurf
297	FBgn0035886	-0.87	1.740e-03	0.613	Jon66Ci	Smurf & old non-Smurf
298	FBgn0020908	-1.259	0.000e+00	0.952	Scp1	 old non-Smurf
299	FBgn0039777	-1.332	9.640e-03	0.532	Jon99Fii	Smurf & old non-Smurf
300	FBgn0039778	-1.369	1.698e-02	0.521	Jon99Fi	Smurf & old non-Smurf
301	FBgn0031277	-2.062	2.200e-04	0.699	CG13947	 old non-Smurf
